,Target,Date,Tweet Ago,Compound,Positive,Negative,Neutral,Text,Source
0,BBC,2017-12-01 19:00:02,1,-0.3818,0.0,0.133,0.867,"Former Nazi leader, Ingo Hasselbach has developed a system in Germany to fight extremism.
Via BBC World Hacks. https://t.co/VTbEfmUGvk","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
1,BBC,2017-12-01 18:30:09,2,0.0,0.0,0.0,1.0,?? The avocado police protecting Mexico's green gold. https://t.co/nY6VtkGxtA https://t.co/UBmnrbTzTH,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
2,BBC,2017-12-01 18:01:03,3,0.5574,0.184,0.0,0.816,"When @LoyleCarner met his all-time hero Eric Cantona. ??? Watch The Premier League Show, here. ?… https://t.co/NQDq5uxKkS","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
3,BBC,2017-12-01 17:30:09,4,0.8591,0.333,0.0,0.667,"'I’ve learnt for the first time in years to accept my skin.' 
Could ‘acne positivity’ help you to love your spots?… https://t.co/J1PLYHNzMO","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
4,BBC,2017-12-01 17:18:28,5,0.4767,0.193,0.0,0.807,"RT @BBCEarth: With a drone, his friends and a wheelchair, @jaimenhudson can fly
#OurBluePlanet #BluePlanet2 https://t.co/zM2p9ZnwbR","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
5,BBC,2017-12-01 17:06:02,6,0.0,0.0,0.0,1.0,All dressed up and heading out on a Friday night like... ? ? #FridayFeeling #BluePlanet2 https://t.co/mmJxVP7Hjy,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
6,BBC,2017-12-01 16:30:03,7,0.4003,0.172,0.0,0.828,"Who's excited for @PalomaFaith to host #SLFN tonight? 

WE ARE!

7.30pm | @BBCOne | https://t.co/JXdFw7Flfy https://t.co/x7kyc96jZb","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
7,BBC,2017-12-01 16:03:06,8,0.0,0.0,0.0,1.0,"Coming up on @BBCFour this Christmas; Eric, Ernie &amp; Me, La Bohème, Elvis and more! ?? ? ? https://t.co/lALkwMP6Th https://t.co/wL6oIRaUVc","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
8,BBC,2017-12-01 15:31:05,9,0.0,0.0,0.0,1.0,? ? @brittwray &amp; @elliecosgrave discuss how close we are to the next pandemic in episode 5 of the @TWBBC podcast. ?… https://t.co/zksLmMErzC,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
9,BBC,2017-12-01 14:59:04,10,0.0,0.0,0.0,1.0,"Today is the first day of winter - or is it? ?
Working out exactly when autumn finishes &amp; winter begins isn't as si… https://t.co/8qhmrtHUFX","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
10,BBC,2017-12-01 14:28:33,11,0.1027,0.136,0.117,0.748,"On #WorldAIDSDay, @RiyadhK looks at some iconic 80s advertising from the safe sex campaign stressing the importance… https://t.co/4IaLF5gWY2","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
11,BBC,2017-12-01 14:00:07,12,-0.296,0.0,0.115,0.885,"'For the ear, he (Elvis) is an unutterable bore.' ~ @NYTimes.
? 7 times music critics got things completely wrong.… https://t.co/8ETpF9UMXD","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
12,BBC,2017-12-01 13:31:02,13,0.0,0.0,0.0,1.0,"With drug-resistant superbugs on the rise, scientists are searching for new antibiotics in exotic and extreme place… https://t.co/zwgK11WqUJ","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
13,BBC,2017-12-01 13:00:08,14,0.5423,0.2,0.0,0.8,"'Cows always find time for extra-curricular activities.' ?
Nine udderly fascinating facts about cows. ?… https://t.co/5CluNT3eYN","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
